,Night Peak Data (Complex Wise),Active Power (MW),Reactive Power (Mvar),date
721,CEB Wind,11.4,-12.4,04/24/2023
722,SPP Wind,4.7,2.6,04/24/2023
723,CEB Small Hydro,9.3,0.0,04/24/2023
724,SPP Biomass,4.6,2.4,04/24/2023
725,SPP Minihydro,50.3,0.0,04/24/2023
726,Capacitors,0.0,111.2,04/24/2023
727,Total,1901.0,431.5,04/24/2023
728,Laxapana Hydro Complex,130.3,26.5,04/25/2023
729,Mahaweli Hydro Complex,262.0,24.5,04/25/2023
730,Samanala Hydro Complex,96.9,20.9,04/25/2023
731,CEB Thermal Coal,809.1,69.0,04/25/2023
732,CEB Thermal Oil,429.0,129.0,04/25/2023
733,IPP Thermal Oil,286.8,18.1,04/25/2023
734,CEB Wind,0.0,2.6,04/25/2023
735,SPP Wind,2.2,2.6,04/25/2023
736,CEB Small Hydro,9.3,0.0,04/25/2023
737,SPP Biomass,4.7,3.5,04/25/2023
738,SPP Minihydro,43.6,0.0,04/25/2023
739,Capacitors,0.0,65.5,04/25/2023
740,Total,2074.0,362.3,04/25/2023
741,Laxapana Hydro Complex,77.6,34.0,04/26/2023
742,Mahaweli Hydro Complex,256.4,35.6,04/26/2023
743,Samanala Hydro Complex,72.0,11.3,04/26/2023
744,CEB Thermal Coal,811.5,139.6,04/26/2023
745,CEB Thermal Oil,348.9,98.4,04/26/2023
746,IPP Thermal Oil,281.9,20.9,04/26/2023
747,CEB Wind,0.0,0.0,04/26/2023
748,SPP Wind,0.0,0.0,04/26/2023
749,CEB Small Hydro,9.3,0.0,04/26/2023
750,SPP Biomass,4.4,4.0,04/26/2023
751,SPP Minihydro,24.8,0.0,04/26/2023
752,Capacitors,0.0,71.0,04/26/2023
753,Total,1886.8,414.8,04/26/2023
1,Laxapana Hydro Complex,172.5,17.5,04/27/2023
2,Mahaweli Hydro Complex,111.5,17.4,04/27/2023
3,Samanala Hydro Complex,81.8,5.2,04/27/2023
4,CEB Thermal Coal,790.5,112.0,04/27/2023
5,CEB Thermal Oil,477.4,116.3,04/27/2023
6,IPP Thermal Oil,279.6,-4.7,04/27/2023
7,CEB Wind,12.0,3.6,04/27/2023
8,SPP Wind,0.3,3.6,04/27/2023
9,CEB Small Hydro,9.6,0.0,04/27/2023
10,SPP Biomass,4.8,3.8,04/27/2023
11,SPP Minihydro,24.6,0.0,04/27/2023
12,Capacitors,0.0,135.5,04/27/2023
13,Total,1964.5,410.1,04/27/2023
